timestamp,Significant height of combined wind waves and swell,Mean wave direction,2 metre dewpoint temperature,Mean wave period,10 metre U wind component,2 metre temperature,Total precipitation,10 metre V wind component
2015-12-01 00:00:00+00:00,2.519031524658203,305.8984375,277.29931640625,6.898283004760742,10.042717933654785,281.918701171875,,-7.533930778503418
2015-12-01 01:00:00+00:00,2.665266990661621,306.270751953125,276.5634765625,6.776247978210449,10.32420825958252,282.014404296875,,-7.003525733947754
2015-12-01 02:00:00+00:00,2.7369165420532227,306.49169921875,276.4140625,6.77622127532959,10.42509937286377,281.978271484375,,-6.586438179016113
2015-12-01 03:00:00+00:00,2.7768659591674805,306.846923828125,276.014892578125,6.823381423950195,10.513421058654785,281.912353515625,,-6.256434440612793
2015-12-01 04:00:00+00:00,2.8056716918945312,307.533203125,275.437744140625,6.888066291809082,10.541165351867676,281.9482421875,,-5.986989974975586
2015-12-01 05:00:00+00:00,2.7910890579223633,308.231201171875,275.4404296875,6.958087921142578,10.171713829040527,281.93017578125,,-5.546799659729004
2015-12-01 06:00:00+00:00,2.72137451171875,308.8447265625,275.10986328125,7.025507926940918,9.871865272521973,281.933349609375,4.769558472617064e-07,-4.643466949462891
2015-12-01 07:00:00+00:00,2.63950252532959,309.2958984375,274.977294921875,7.067451477050781,9.743966102600098,281.958740234375,,-3.957688331604004
2015-12-01 08:00:00+00:00,2.556828498840332,309.703125,274.700927734375,7.094239234924316,9.472064971923828,281.944580078125,,-3.181706428527832
2015-12-01 09:00:00+00:00,2.4702301025390625,310.03125,274.587646484375,7.112092018127441,9.244769096374512,281.92041015625,,-2.583272933959961
2015-12-01 10:00:00+00:00,2.363431930541992,310.60400390625,275.25537109375,7.162062644958496,8.838349342346191,281.988525390625,,-1.4130563735961914
2015-12-01 11:00:00+00:00,2.2769832611083984,310.6064453125,275.357421875,7.164731979370117,9.129026412963867,282.056640625,,-1.0305004119873047
2015-12-01 12:00:00+00:00,2.2042150497436523,310.327392578125,275.573486328125,7.140664100646973,8.809900283813477,282.1318359375,,-0.7303063869476318
2015-12-01 13:00:00+00:00,2.1250295639038086,310.27978515625,275.661865234375,7.141183853149414,8.08934211730957,282.214599609375,,0.1873343586921692
2015-12-01 14:00:00+00:00,2.0324058532714844,310.74365234375,276.206298828125,7.192111968994141,7.387781143188477,282.08740234375,,1.9638118743896484
2015-12-01 15:00:00+00:00,1.9454212188720703,311.03076171875,277.62060546875,7.235937118530273,6.471797943115234,281.7744140625,,3.208247184753418
2015-12-01 16:00:00+00:00,1.8653373718261719,311.20556640625,278.318115234375,7.265568733215332,5.442429542541504,281.706298828125,,4.393094062805176
2015-12-01 17:00:00+00:00,1.7969913482666016,310.919677734375,278.7158203125,7.25559139251709,3.8814611434936523,281.829833984375,,6.131069183349609
2015-12-01 18:00:00+00:00,1.746840476989746,309.56884765625,279.22216796875,7.173011779785156,2.730740547180176,281.890625,0.0002939084079116583,7.722565650939941
2015-12-01 19:00:00+00:00,1.6663188934326172,304.71826171875,280.217041015625,6.794192314147949,3.4439697265625,282.056640625,,7.989743232727051
2015-12-01 20:00:00+00:00,1.7428627014160156,294.659423828125,281.67431640625,6.429133415222168,8.57065486907959,283.291748046875,,5.620457649230957
2015-12-01 21:00:00+00:00,1.943467140197754,282.639892578125,282.232666015625,6.023430824279785,11.62065315246582,284.171630859375,,4.102916717529297
2015-12-01 22:00:00+00:00,2.0788135528564453,277.83837890625,282.390869140625,5.9259843826293945,11.15470027923584,284.502197265625,,2.788374900817871
2015-12-01 23:00:00+00:00,2.1334104537963867,275.907470703125,282.454833984375,5.971950531005859,11.103759765625,284.522705078125,,2.609164237976074
