index,location_key,latitude,longitude,start,end,duration,distance_centroid
0,location_0,51.66905609756098,2.8565987560975614,2016-12-09 09:14:36+00:00,2016-12-12 01:06:16+00:00,2 days 15:51:40,4065.7964727855942
1,location_1,51.67802833333334,2.8576331666666652,2016-12-12 04:02:16+00:00,2016-12-14 05:07:12+00:00,2 days 01:04:56,3713.8030461685967
2,location_10,51.647963999999995,2.8159260266666664,2017-01-22 04:11:42+00:00,2017-01-25 19:06:33+00:00,3 days 14:54:51,4515.070297647355
3,location_11,51.6335270909091,2.809978145454545,2017-01-25 21:18:22+00:00,2017-04-03 09:06:12+00:00,67 days 11:47:50,6076.507187669742
4,location_12,51.62804385416666,2.8008062187500005,2017-01-27 04:15:02+00:00,2017-03-13 04:21:41+00:00,45 days 00:06:39,6691.561081081175
5,location_13,51.623076530612245,2.800581673469387,2017-02-09 22:09:43+00:00,2017-02-12 11:15:16+00:00,2 days 13:05:33,7243.914311272561
6,location_14,51.67680310344827,2.8326695862068965,2017-02-12 16:03:58+00:00,2017-02-14 21:02:38+00:00,2 days 04:58:40,2212.2316629465413
7,location_15,51.666267826086944,2.833252913043478,2017-02-15 01:14:57+00:00,2017-02-16 12:03:37+00:00,1 days 10:48:40,3060.230424931566
8,location_16,51.65870681818182,2.835799272727272,2017-02-16 16:09:07+00:00,2017-02-17 20:14:34+00:00,1 days 04:05:27,3852.697902876629
9,location_17,51.653481250000006,2.830905583333333,2017-02-17 23:17:08+00:00,2017-02-19 03:11:08+00:00,1 days 03:54:00,4209.894619344241
10,location_18,51.64859534883723,2.8271035348837215,2017-02-19 05:08:07+00:00,2017-02-24 14:17:28+00:00,5 days 09:09:21,4624.168129620445
11,location_19,51.643259571428565,2.8236876571428575,2017-02-24 18:04:47+00:00,2017-03-31 23:03:51+00:00,35 days 04:59:04,5131.29452983806
12,location_2,51.67358676470588,2.8638941470588235,2016-12-14 07:15:24+00:00,2016-12-16 03:16:43+00:00,1 days 20:01:19,4288.270627344027
13,location_20,51.63678196428572,2.819205053571428,2017-03-08 20:21:51+00:00,2017-04-02 12:10:10+00:00,24 days 15:48:19,5778.3621082164245
14,location_21,51.6816275,2.8356168125000005,2017-03-13 09:11:21+00:00,2017-03-14 00:02:02+00:00,0 days 14:50:41,2147.3056793221863
15,location_22,51.667959374999995,2.8403084375,2017-03-14 02:14:51+00:00,2017-03-14 22:17:10+00:00,0 days 20:02:19,3245.252856444073
16,location_23,51.6640025,2.8472553124999997,2017-03-15 01:00:01+00:00,2017-03-15 16:10:09+00:00,0 days 15:10:08,3895.6305684624595
17,location_24,51.660873888888894,2.853761277777777,2017-03-15 19:14:29+00:00,2017-03-16 12:17:11+00:00,0 days 17:02:42,4460.930751339964
18,location_25,51.656615,2.8488946874999996,2017-03-21 18:21:21+00:00,2017-03-22 16:05:22+00:00,0 days 21:44:01,4572.8102313565405
19,location_26,51.6507495945946,2.8408343783783785,2017-03-22 19:04:32+00:00,2017-03-27 07:16:11+00:00,4 days 12:11:39,4790.601910649224
20,location_27,51.64565000000001,2.8346332857142857,2017-03-27 09:19:41+00:00,2017-03-28 10:01:01+00:00,1 days 00:41:20,5111.788358045484
21,location_28,51.75617499999999,3.3814388333333327,2018-12-13 10:01:07+00:00,2018-12-14 15:01:28+00:00,1 days 05:00:21,40334.04857228256
22,location_29,51.66886311728394,2.743133839506173,2019-01-29 11:13:27+00:00,2021-11-09 11:13:24+00:00,1014 days 23:59:57,4852.607129339169
23,location_3,51.67584068965517,2.8453407758620695,2016-12-16 05:14:33+00:00,2016-12-18 23:19:54+00:00,2 days 18:05:21,3019.3208721966635
24,location_30,51.67706,2.734020163934427,2019-01-30 08:11:07+00:00,2020-03-25 21:00:43+00:00,420 days 12:49:36,5131.917012367836
25,location_31,51.69576224358975,2.767853908119658,2019-07-28 09:12:21+00:00,2021-11-02 20:01:51+00:00,828 days 10:49:30,2781.8102108625985
26,location_32,51.703433142857136,2.7785221571428576,2019-08-01 17:06:59+00:00,2020-01-20 21:05:21+00:00,172 days 03:58:22,2560.9827065996883
27,location_33,51.67566711864407,2.759961847457627,2019-08-07 00:06:41+00:00,2020-01-24 18:16:45+00:00,170 days 18:10:04,3481.3012457223276
28,location_34,51.68502032786885,2.741015229508197,2019-08-09 00:10:05+00:00,2019-08-12 23:14:35+00:00,3 days 23:04:30,4512.786978098773
29,location_35,51.64953666666667,2.731211333333333,2019-08-24 01:06:46+00:00,2019-08-24 04:04:55+00:00,0 days 02:58:09,6724.454533422296
30,location_36,51.66771724770643,2.7578129128440367,2019-08-24 07:15:01+00:00,2020-03-17 02:04:02+00:00,205 days 18:49:01,4039.8649059422623
31,location_37,51.68836580645161,2.723740258064517,2019-08-26 05:16:18+00:00,2020-04-07 09:03:06+00:00,225 days 03:46:48,5690.285095460226
32,location_38,51.68763494505495,2.755635494505495,2019-08-31 08:03:22+00:00,2020-04-04 07:04:04+00:00,216 days 23:00:42,3492.003591710547
33,location_39,51.700529473684206,2.7469649473684203,2019-09-19 18:18:34+00:00,2019-09-20 23:03:06+00:00,1 days 04:44:32,4315.03655146488
34,location_4,51.68456684210527,2.848608894736842,2016-12-19 01:12:02+00:00,2016-12-19 23:08:23+00:00,0 days 21:56:21,2944.3529163326593
35,location_40,51.683092954545444,2.7293971590909094,2019-09-21 02:21:38+00:00,2020-04-05 10:16:05+00:00,197 days 07:54:27,5330.04391606925
36,location_41,51.70289745033112,2.7596954569536427,2019-09-23 22:06:10+00:00,2019-12-26 12:18:25+00:00,93 days 14:12:15,3606.8384229060903
37,location_42,51.70745339285713,2.765673,2019-10-03 21:17:15+00:00,2019-12-28 16:01:16+00:00,85 days 18:44:01,3528.892344519017
38,location_43,51.69399123376623,2.735232194805195,2019-10-08 01:08:23+00:00,2021-10-23 16:00:20+00:00,746 days 14:51:57,4940.957099437359
39,location_44,51.658644695259596,2.752890094808126,2019-10-15 22:06:14+00:00,2020-03-05 04:12:27+00:00,141 days 06:06:13,4929.895389776008
40,location_45,51.70989177215189,2.7829060506329113,2019-10-23 18:03:40+00:00,2019-12-31 17:13:46+00:00,68 days 23:10:06,2907.518267389243
41,location_46,51.69018766129033,2.769664084677419,2019-10-28 16:17:32+00:00,2020-01-23 04:00:44+00:00,86 days 11:43:12,2534.8306068147836
42,location_47,51.68172288770054,2.763744235294118,2019-10-30 03:22:15+00:00,2020-02-06 13:14:06+00:00,99 days 09:51:51,3017.990074435974
43,location_48,51.69098511627907,2.7458193488372094,2019-10-30 14:18:15+00:00,2020-04-01 13:11:41+00:00,153 days 22:53:26,4180.200308433275
44,location_49,51.67792885714285,2.749351085714286,2019-11-05 21:18:27+00:00,2020-03-24 20:06:18+00:00,139 days 22:47:51,4085.711258372617
45,location_5,51.66984375,2.8284290624999997,2016-12-29 15:16:13+00:00,2016-12-30 13:03:53+00:00,0 days 21:47:40,2542.3895761786803
46,location_50,51.69574935483871,2.7521800806451604,2019-11-09 17:19:17+00:00,2021-10-17 22:06:34+00:00,708 days 04:47:17,3824.5549270730635
47,location_51,51.829554117647056,3.202791176470588,2020-11-25 09:17:25+00:00,2020-11-26 16:10:25+00:00,1 days 06:53:00,31496.95649034788
48,location_52,51.75100871794872,2.9498046089743593,2021-08-25 01:03:53+00:00,2021-11-14 16:11:20+00:00,81 days 15:07:27,12109.255659280701
49,location_53,51.761925409836074,2.9328426229508193,2021-09-02 22:08:20+00:00,2021-09-06 10:07:50+00:00,3 days 11:59:30,11971.888555606743
50,location_54,51.744215686274515,2.8397065490196076,2021-09-06 14:04:21+00:00,2021-09-09 05:19:49+00:00,2 days 15:15:28,6648.27014901142
51,location_55,51.761412688172044,2.909827387096776,2021-09-09 09:09:19+00:00,2021-09-14 01:10:48+00:00,4 days 16:01:29,10829.128969045614
52,location_56,51.769036060606055,2.9051001212121212,2021-09-16 16:07:33+00:00,2021-09-18 08:15:15+00:00,1 days 16:07:42,11280.874014438794
53,location_57,51.65587909090909,2.9925576969696968,2021-09-18 14:20:52+00:00,2021-09-20 04:18:14+00:00,1 days 13:57:22,13336.210042953306
54,location_58,51.651128823529405,3.017546558823529,2021-09-20 06:08:32+00:00,2021-09-21 21:11:06+00:00,1 days 15:02:34,15138.782976242259
55,location_59,51.75527115384617,2.8327724615384615,2021-09-22 02:03:02+00:00,2021-09-23 13:13:29+00:00,1 days 11:10:27,7685.862210037187
56,location_6,51.66381873684212,2.824014147368421,2016-12-30 17:15:13+00:00,2017-01-06 18:13:01+00:00,7 days 00:57:48,2966.461501504419
57,location_60,51.773399743589756,2.9246387948717953,2021-09-23 16:02:14+00:00,2021-09-25 14:21:10+00:00,1 days 22:18:56,12503.807994191946
58,location_61,51.76632280373832,2.8888824299065416,2021-09-25 16:10:19+00:00,2021-10-01 22:10:38+00:00,6 days 06:00:19,10390.710009730781
59,location_62,51.78028918699186,2.9606024878048776,2021-10-02 02:14:57+00:00,2021-10-08 18:03:03+00:00,6 days 15:48:06,14763.246779628693
60,location_63,51.784205857142865,2.980746114285715,2021-10-08 20:02:54+00:00,2021-10-12 16:14:20+00:00,3 days 20:11:26,16076.8128217789
61,location_64,51.7877684375,2.99733996875,2021-11-11 04:03:29+00:00,2021-11-12 22:07:03+00:00,1 days 18:03:34,17199.778394705332
62,location_65,51.77346033333334,2.977647733333333,2021-11-14 20:00:19+00:00,2021-11-16 10:06:01+00:00,1 days 14:05:42,15143.096064630356
63,location_66,51.640824285714274,2.947792761904762,2021-11-16 13:20:20+00:00,2021-11-17 16:09:10+00:00,1 days 02:48:50,11086.865652943463
64,location_67,51.677656999999996,3.0246831,2021-11-17 21:19:40+00:00,2021-11-18 10:03:00+00:00,0 days 12:43:20,15101.76618695343
65,location_7,51.64226624113475,2.8123167163120573,2017-01-07 01:00:11+00:00,2017-01-16 02:09:12+00:00,9 days 01:09:01,5116.352753319849
66,location_8,51.65826191780822,2.8205294246575345,2017-01-16 04:18:51+00:00,2017-01-20 04:14:09+00:00,3 days 23:55:18,3462.9849658647754
67,location_9,51.652846774193534,2.8181619354838716,2017-01-20 07:16:59+00:00,2017-01-22 02:14:42+00:00,1 days 18:57:43,4007.492586237625
